model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8421349040274871
Random Forest,0.7863733144073811,0.6254295532646048,0.48663101604278075,0.5473684210526316,0.8185099072567104
Gradient Boosting,0.8026969481902059,0.6655172413793103,0.516042780748663,0.5813253012048193,0.8432754656539823
